%Motor characterization data
%Each row's values were recorded on the same timestep
%Timestep increments at 8kHz

%Operator:
%Motor:
%ODrive axis: axis0
%Date:,02/04/2021
%Start time:,16:03:47

%timestep (8Hz),voltage,position,velocity
%[#],[V],[rad],[rad/s]
11923.0,0.0,1486684.75,0.0;
11966.0,0.0,1486684.75,0.0;
12008.0,0.0,1486684.75,0.0;
12052.0,0.0,1486684.75,0.0;
12095.0,0.0,1486684.75,0.0;
12135.0,0.0,1486684.75,0.0;
12175.0,0.0,1486684.75,0.0;
12215.0,0.0,1486684.75,0.0;
12256.0,0.0,1486684.75,0.0;
12299.0,0.0,1486684.75,0.0;
12339.0,0.0,1486684.75,0.0;
12380.0,0.0,1486684.75,0.0;
12420.0,0.0,1486684.75,0.0;
12460.0,0.0,1486684.75,0.0;
12499.0,0.0,1486684.75,0.0;
12539.0,0.0,1486684.75,0.0;
12580.0,0.0,1486684.75,0.0;
12620.0,0.0,1486684.75,0.0;
12659.0,0.0,1486684.75,0.0;
12698.0,0.0,1486684.75,0.0;
12737.0,0.0,1486684.75,0.0;
12776.0,0.0,1486684.75,0.0;
12815.0,0.0,1486684.75,0.0;
12855.0,0.0,1486684.75,0.0;
12895.0,0.0,1486684.75,0.0;
12936.0,0.0,1486684.75,0.0;
12981.0,0.0,1486684.75,0.0;
13036.0,0.0,1486684.75,0.0;
13088.0,0.0,1486684.75,0.0;
13140.0,0.0,1486684.75,0.0;
13192.0,0.0,1486684.75,0.0;
13240.0,0.0,1486684.75,0.0;
13289.0,0.0,1486684.75,0.0;
13333.0,0.0,1486684.75,0.0;
13373.0,0.0,1486684.75,0.0;
13412.0,0.0,1486684.75,0.0;
13454.0,0.0,1486684.75,0.0;
13493.0,0.0,1486684.75,0.0;
13532.0,0.0,1486684.75,0.0;
13572.0,0.0,1486684.75,0.0;
13613.0,0.0,1486684.75,0.0;
13652.0,0.0,1486684.75,0.0;
13692.0,0.0,1486684.75,0.0;
13732.0,0.0,1486684.75,0.0;
13771.0,0.0,1486684.75,0.0;
13811.0,0.0,1486684.75,0.0;
13850.0,0.0,1486684.75,0.0;
13890.0,0.0,1486684.75,0.0;
13933.0,0.0,1486684.75,0.0;
13973.0,0.0,1486684.75,0.0;
14012.0,0.0,1486684.75,0.0;
14053.0,0.0,1486684.75,0.0;
14094.0,0.0,1486684.75,0.0;
14134.0,0.0,1486684.75,0.0;
14174.0,0.0,1486684.75,0.0;
14213.0,0.0,1486684.75,0.0;
14252.0,0.0,1486684.75,0.0;
14292.0,0.0,1486684.75,0.0;
14336.0,0.0,1486684.75,0.0;
14375.0,0.0,1486684.75,0.0;
14414.0,0.0,1486684.75,0.0;
14453.0,0.0,1486684.75,0.0;
14492.0,0.0,1486684.75,0.0;
14532.0,0.0,1486684.75,0.0;
14573.0,0.0,1486684.75,0.0;
14612.0,0.0,1486684.75,0.0;
14651.0,0.0,1486684.75,0.0;
14691.0,0.0,1486684.75,0.0;
14732.0,0.0,1486684.75,0.0;
14771.0,0.0,1486684.75,0.0;
14811.0,0.0,1486684.75,0.0;
14852.0,0.0,1486684.75,0.0;
14892.0,0.0,1486684.75,0.0;
14933.0,0.0,1486684.75,0.0;
14983.0,0.0,1486684.75,0.0;
15025.0,0.0,1486684.75,0.0;
15064.0,0.0,1486684.75,0.0;
15104.0,0.0,1486684.75,0.0;
15143.0,0.0,1486684.75,0.0;
15182.0,0.0,1486684.75,0.0;
15224.0,0.0,1486684.75,0.0;
15265.0,0.0,1486684.75,0.0;
15308.0,0.0,1486684.75,0.0;
15349.0,0.0,1486684.75,0.0;
15389.0,0.0,1486684.75,0.0;
15428.0,0.0,1486684.75,0.0;
15469.0,0.0,1486684.75,0.0;
15508.0,0.0,1486684.75,0.0;
15548.0,0.0,1486684.75,0.0;
15588.0,0.0,1486684.75,0.0;
15628.0,0.0,1486684.75,0.0;
15668.0,0.0,1486684.75,0.0;
15712.0,0.0,1486684.75,0.0;
15759.0,0.0,1486684.75,0.0;
15803.0,0.0,1486684.75,0.0;
15850.0,0.0,1486684.75,0.0;
15898.0,0.0,1486684.75,0.0;
15946.0,0.0,1486684.75,0.0;
15995.0,0.0,1486684.75,0.0;
16036.0,0.25,1487068.625,97625.0;
16080.0,0.25,1487846.625,141000.0;
16121.0,0.25,1488597.25,146125.0;
16163.0,0.25,1489369.75,147125.0;
16206.0,0.25,1490161.625,147125.0;
16248.0,0.25,1490932.625,146750.0;
16289.0,0.25,1491682.25,146375.0;
16333.0,0.25,1492491.125,147375.0;
16374.0,0.25,1493249.0,148000.0;
16417.0,0.25,1494047.0,148500.0;
16459.0,0.25,1494825.0,148250.0;
16505.0,0.25,1495675.5,147500.0;
16546.0,0.25,1496428.625,146750.0;
16586.0,0.25,1497159.25,146125.0;
16625.0,0.25,1497872.0,146375.0;
16664.0,0.25,1498590.0,147375.0;
